"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Timothe Luwawu-Cabarrot",3200,"BOS@PHI 10/20/2017 07:00PM ET",11.808,"PHI"
"SF/PF","Nemanja Bjelica",3200,"UTA@MIN 10/20/2017 08:00PM ET",14.598,"MIN"
"SG/SF","Thabo Sefolosha",3200,"UTA@MIN 10/20/2017 08:00PM ET",18.008,"UTA"
"PG/SG","Ian Clark",3200,"GS@NO 10/20/2017 09:30PM ET",11.614,"NO"
"SF/PF","Omri Casspi",3200,"GS@NO 10/20/2017 09:30PM ET",11.847,"GS"
"C","JaVale McGee",3200,"GS@NO 10/20/2017 09:30PM ET",12.295,"GS"
"SG","Luke Kennard",3200,"DET@WAS 10/20/2017 07:00PM ET",16.750,"DET"
"SG/SF","Pat Connaughton",3100,"POR@IND 10/20/2017 07:00PM ET",5.756,"POR"
"PG/SG","D.J. Augustin",3100,"ORL@BKN 10/20/2017 07:30PM ET",14.715,"ORL"
"PG","T.J. McConnell",3100,"BOS@PHI 10/20/2017 07:00PM ET",23.229,"PHI"
"SG/SF","Justin Jackson",3100,"SAC@DAL 10/20/2017 08:30PM ET",4.000,"SAC"
"SG/SF","Shabazz Muhammad",3100,"UTA@MIN 10/20/2017 08:00PM ET",14.994,"MIN"
"PG/SG","Matthew Dellavedova",3100,"CLE@MIL 10/20/2017 07:00PM ET",17.672,"MIL"
"PF","Cheick Diallo",3100,"GS@NO 10/20/2017 09:30PM ET",11.671,"NO"
"SF/PF","Dante Cunningham",3100,"GS@NO 10/20/2017 09:30PM ET",14.881,"NO"
"PG/SG","Alex Caruso",3000,"LAL@PHO 10/20/2017 10:00PM ET",4.875,"LAL"
"C","Andrew Bogut",3000,"LAL@PHO 10/20/2017 10:00PM ET",17.759,"LAL"
"PG/SG","Vander Blue",3000,"LAL@PHO 10/20/2017 10:00PM ET",5.625,"LAL"
"PF","Jared Dudley",3000,"LAL@PHO 10/20/2017 10:00PM ET",15.855,"PHO"
"SG","Davon Reed",3000,"LAL@PHO 10/20/2017 10:00PM ET",0,"PHO"
"SF/PF","Alec Peters",3000,"LAL@PHO 10/20/2017 10:00PM ET",0,"PHO"
"SF","Derrick Jones Jr.",3000,"LAL@PHO 10/20/2017 10:00PM ET",10.174,"PHO"
"PG","Mike James",3000,"LAL@PHO 10/20/2017 10:00PM ET",24.250,"PHO"
"SG","Troy Daniels",3000,"LAL@PHO 10/20/2017 10:00PM ET",11.943,"PHO"
"PF/C","Dragan Bender",3000,"LAL@PHO 10/20/2017 10:00PM ET",8.858,"PHO"
"PG/SG","Brandon Knight",3000,"LAL@PHO 10/20/2017 10:00PM ET",18.171,"PHO"
"SF/PF","TJ Leaf",3000,"POR@IND 10/20/2017 07:00PM ET",6.750,"IND"
"SF","Alex Poythress",3000,"POR@IND 10/20/2017 07:00PM ET",17.607,"IND"
"PG","Edmond Sumner",3000,"POR@IND 10/20/2017 07:00PM ET",0,"IND"
"SG/SF","Damien Wilkins",3000,"POR@IND 10/20/2017 07:00PM ET",18.000,"IND"
"PG/SG","Joe Young",3000,"POR@IND 10/20/2017 07:00PM ET",3.706,"IND"
"PF/C","Ike Anigbogu",3000,"POR@IND 10/20/2017 07:00PM ET",0,"IND"
"PF/C","Meyers Leonard",3000,"POR@IND 10/20/2017 07:00PM ET",11.923,"POR"
"SG/SF","C.J. Wilcox",3000,"POR@IND 10/20/2017 07:00PM ET",2.659,"POR"
"SF/PF","Jake Layman",3000,"POR@IND 10/20/2017 07:00PM ET",4.382,"POR"
"PG/SG","Isaiah Whitehead",3000,"ORL@BKN 10/20/2017 07:30PM ET",15.861,"BKN"
"SG","Yakuba Ouattara",3000,"ORL@BKN 10/20/2017 07:30PM ET",1.500,"BKN"
